Display_first_last,age,value,pts,ast,reb,pie,season_exp,draftValue,BMI,Center,Center-Forward,Forward,Forward-Center,Forward-Guard,Guard,Guard-Forward,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Gabe Vincent,25,1669178.0,5.9,1.3,1.2,0.053,1,3.0,24.995555555555555,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,27.0,23.4,3.1,7.5,0.41700000000000004,1.8,4.8,0.368,1.4,2.8,0.5,0.5329999999999999,0.6,0.8,0.815,0.3,1.5,0.9,0.2,1.4,2.3
Zach Collins,24,7363319.0,7.0,1.5,6.3,0.054000000000000006,3,1.1,25.511685295398465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,17.9,2.7,5.5,0.49,0.5,1.5,0.341,2.2,4.1,0.544,0.535,1.9,2.3,0.8,1.6,3.8,0.5,0.8,1.6,2.4
Vlatko Cancar,24,1782621.0,1.4,0.3,1.2,0.055999999999999994,1,2.49,25.923125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,11.7,1.5,2.7,0.561,0.5,0.8,0.583,1.1,1.9,0.552,0.6459999999999999,0.6,0.9,0.643,0.5,1.5,0.1,0.2,0.6,1.2
Luguentz Dort,22,1782621.0,12.6,1.6,3.5,0.055999999999999994,1,3.0,26.870222222222218,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,51.0,32.6,5.7,14.2,0.40399999999999997,2.5,7.7,0.332,3.2,6.6,0.48700000000000004,0.493,3.2,3.7,0.843,0.7,3.4,0.9,0.4,1.7,2.9
Thanasis Antetokounmpo,29,2126991.0,2.2,0.7,2.0,0.057,2,2.51,25.30522682445759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,6.0,9.9,1.5,2.7,0.547,0.0,0.3,0.14300000000000002,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,0.3,0.3,0.5,1.4
Cory Joseph,30,12600000.0,6.7,2.4,2.2,0.057999999999999996,9,1.29,24.995555555555555,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,39.0,24.6,2.7,6.2,0.445,1.0,2.4,0.414,1.7,3.7,0.465,0.526,1.5,1.7,0.885,0.4,2.2,0.6,0.3,1.3,2.3
Dillon Brooks,25,12200000.0,15.8,2.6,3.0,0.057999999999999996,3,2.45,25.344496074347056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,31.0,27.7,7.1,16.4,0.43200000000000005,1.4,4.7,0.309,5.7,11.8,0.48,0.475,2.8,3.3,0.8490000000000001,0.9,2.3,1.1,0.3,1.6,3.3
Matt Thomas,27,1782621.0,2.6,0.4,0.8,0.057999999999999996,1,3.0,23.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,11.5,1.4,3.4,0.41,0.9,2.3,0.385,0.5,1.1,0.465,0.541,0.4,0.5,0.8,0.1,1.2,0.2,0.1,0.2,0.5
Landry Shamet,24,3768342.0,7.8,1.1,1.8,0.059000000000000004,2,1.26,23.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,14.0,20.8,2.8,7.0,0.39399999999999996,1.8,4.8,0.368,1.0,2.2,0.45,0.521,1.0,1.2,0.84,0.2,1.6,0.4,0.1,0.6,1.3
Jarrett Culver,22,6395160.0,6.8,0.8,4.3,0.059000000000000004,1,1.6,22.53205128205128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,9.1,1.4,3.6,0.37799999999999995,0.3,1.3,0.255,1.1,2.4,0.44299999999999995,0.42200000000000004,0.4,0.9,0.47100000000000003,0.4,0.9,0.5,0.1,0.5,1.1
Brandon Goodwin,26,2126991.0,3.9,1.6,1.0,0.062,2,3.0,24.40972222222223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,5.0,13.9,1.8,4.3,0.41600000000000004,0.5,1.5,0.345,1.3,2.8,0.455,0.47700000000000004,0.7,1.1,0.632,0.4,1.5,0.7,0.0,1.0,1.1
Avery Bradley,31,5916750.0,8.5,1.4,1.8,0.062,10,1.19,22.496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,45.0,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.47100000000000003,0.54,0.3,0.3,0.889,0.5,1.7,0.9,0.1,0.6,1.9
Garrison Mathews,25,1669178.0,6.7,0.4,1.7,0.063,1,3.0,25.492494518468547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,33.0,26.3,2.8,7.1,0.39899999999999997,2.1,5.9,0.36,0.7,1.2,0.6,0.55,2.2,2.8,0.794,0.5,2.4,0.9,0.4,0.6,2.6
Davis Bertans,29,16000000.0,10.8,0.9,2.9,0.064,4,2.42,23.523944080904226,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,14.4,1.8,4.9,0.36,1.4,4.1,0.335,0.4,0.8,0.489,0.5,0.6,0.7,0.9,0.2,1.9,0.3,0.2,0.3,1.5
Kelan Martin,26,1701593.0,1.3,0.1,0.9,0.066,1,3.0,27.271040647664023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,15.0,2.3,5.7,0.409,0.7,2.5,0.293,1.6,3.2,0.5,0.474,0.3,0.4,0.6920000000000001,0.6,1.3,0.4,0.3,0.5,1.2
